,epithelial cell,T cell,plasma cell,B cell,mesenchymal cell,endothelial cell,myeloid cell
RMND5B,0.3203485,0.103732154,0.076698765,0.14130534,0.106844775,0.19489239,0.11616162
HLA-DPB1,0.0052026855,0.066373445,0.020260496,0.13501815,0.008962044,0.044354837,0.23200034
PHLDA1,0.01273737,0.1144373,0.019538546,0.0052015604,0.2329914,0.11574073,0.03764081
ATP5F1A,0.2152043,0.2796671,0.24833974,0.3464079,0.12062338,0.11767227,0.1939506
LDHA,0.14513257,0.14448686,0.11340496,0.10191239,0.34518254,0.16400726,0.12794611
SEC11C,0.018133994,0.010163748,0.23342921,0.036410928,0.0116861425,0.010752688,0.01010101
NUDCD2,0.26238203,0.03218522,0.037658777,0.04812086,0.04006677,0.057030115,0.055600118
ERBB2,0.3952044,0.17055458,0.13635683,0.20559947,0.24597679,0.25404108,0.22727276
GADD45B,0.10296043,0.07540803,0.17072082,0.07867358,0.31051746,0.13172041,0.10101009
SLC38A2,0.03820604,0.07284021,0.13922213,0.050715227,0.19140686,0.25537628,0.060606062
INPP5D,0.0022303208,0.12601629,0.026106268,0.22301702,0.001669449,0.026881717,0.1060606
IGHV4-61,0.006237606,0.006365762,0.21561974,0.10532098,0.001669449,0.0027145266,0.006475006
IGLV7-43,0.002854184,0.007905137,0.22422166,0.01430429,0.0025041737,0.0,0.012626262
ITGB1BP1,0.19162345,0.0056465277,0.015195372,0.00910273,0.15692829,0.14784941,0.025252525
MBNL1,0.12635022,0.35471752,0.124818906,0.21855545,0.27462444,0.24325731,0.1868687
PPFIBP1,0.010061392,0.0028232636,0.0044184932,0.0013003901,0.026711186,0.22479035,0.005050505
F3,0.014899011,0.0,0.0023052495,0.0,0.22045057,0.002688172,0.0
BZW1,0.08571513,0.09596614,0.081317104,0.063536145,0.24868585,0.2537834,0.09410226
PIK3R3,0.029874546,0.006971315,0.005606639,0.0,0.0008347245,0.2239917,0.005050505
HOXD-AS2,0.026854942,0.0,0.000723589,0.0,0.038397327,0.22448382,0.0
CGREF1,0.22071959,0.0016939582,0.003617945,0.0026007802,0.001669449,0.01344086,0.0
CDKN1B,0.04102536,0.23842873,0.21442902,0.143793,0.056093477,0.056198902,0.070707075
PODXL,0.022351278,0.004517222,0.005788712,0.0039011703,0.013355591,0.22715046,0.02020202
SERINC5,0.25698602,0.1549969,0.028219976,0.024907677,0.06860548,0.13709675,0.1010101
SORBS1,0.017580282,0.004517222,0.012301015,0.0013003901,0.0951586,0.22311822,0.015151516
MAP1B,0.017254552,0.0011293055,0.002894356,0.0039011703,0.2170285,0.102150515,0.01010101
RPL6,0.082019985,0.23345125,0.23222369,0.29832256,0.116372794,0.13077556,0.11105193
SDC1,0.026528658,0.0016939582,0.21924698,0.0013003901,0.001669449,0.0,0.005050505
PRKG1-AS1,0.0103974445,0.0005646527,0.003617945,0.0,0.2187157,0.002688172,0.01010101
TNS2,0.025976418,0.0016939582,0.0050651226,0.0014114911,0.18363953,0.16129847,0.005050505
FAM131A,0.2243274,0.005646527,0.005788712,0.0026007802,0.013355591,0.021505374,0.015223129
RRBP1,0.10463888,0.010163747,0.2557918,0.027308192,0.12687819,0.08064516,0.07575758
ANKRD44,0.0042939847,0.15902019,0.036210116,0.20763679,0.01502504,0.008064516,0.0714437
NRP1,0.014404492,0.004517222,0.000723589,0.0013003901,0.20982613,0.12640566,0.045454547
AGAP2,0.016334428,0.025691709,0.023154933,0.024707414,0.09181972,0.2311827,0.005050505
TNFRSF14-AS1,0.3588929,0.21197002,0.1976757,0.26918104,0.23539253,0.4166664,0.3080809
NACA,0.19682631,0.30678314,0.3871793,0.406262,0.2792656,0.34682757,0.21629965
ABHD2,0.2508996,0.30763635,0.16933908,0.25056657,0.39321443,0.3696444,0.3587741
ACTG1,0.5073763,0.53560895,0.44420737,0.6791122,0.60851645,0.60619044,0.62815976
AMN,0.19770116,0.005646527,0.023878442,0.01170351,0.046744566,0.17204292,0.025252525
SLC35A5,0.058417115,0.07171089,0.03473228,0.100129984,0.09682807,0.15860212,0.27272728
GOLGB1,0.20794421,0.117948584,0.32150066,0.095591836,0.10757379,0.18404828,0.123047784
PDLIM5,0.096906684,0.028797297,0.018259928,0.024045667,0.14557604,0.23936334,0.08109904
TTN,0.117662385,0.14568017,0.027592892,0.18378848,0.07512521,0.26344076,0.065656565
RPL41,0.20890215,0.12585716,0.3006008,0.17721191,0.060953867,0.15262267,0.08932983
MYH11,0.030846704,0.010446075,0.0072699636,0.00910273,0.22704512,0.056451615,0.01010101
CD3E,0.0053433003,0.22068158,0.020265916,0.0861341,0.010016694,0.002688172,0.015151516
BRD2,0.17062166,0.3179404,0.36302942,0.2387844,0.20701183,0.15089716,0.18181822
LTB4R2,0.012558135,0.10395249,0.040520992,0.05331601,0.030050088,0.08333333,0.24747479
BHLHE40,0.028253276,0.060135547,0.013748193,0.03641093,0.08096828,0.24193537,0.025252525
CEACAM1,0.22303201,0.007905138,0.021798234,0.00780234,0.0075157797,0.03360215,0.01010101
CFAP44,0.0058695916,0.0019951062,0.0032561503,0.0019499921,0.21293867,0.008064516,0.0
DOCK8,0.006488612,0.18198644,0.060782935,0.18209577,0.019031718,0.002688172,0.11634827
CTSL,0.006506092,0.0033879164,0.010130247,0.0013003901,0.21960247,0.026881717,0.025252525
FLNB,0.10264652,0.015333156,0.013856678,0.020806242,0.09616029,0.22702423,0.02020202
PIGF,0.021433195,0.036137793,0.08357445,0.07217165,0.19547167,0.06854839,0.22643107
CHMP1B-AS1,0.21555465,0.013551663,0.013024604,0.018205462,0.04006678,0.037634406,0.14141414
MRGPRF-AS1,0.00013842747,0.0,0.0,0.0,0.20868127,0.002688172,0.0
IQCK,0.02775474,0.0050818743,0.021345878,0.004551365,0.11352255,0.21236548,0.01010101
GDF9,0.27473304,0.072449,0.09148362,0.077585265,0.053422358,0.05645162,0.06565657
UFSP2,0.2174377,0.02089215,0.1690572,0.051365424,0.01836394,0.059139792,0.04040404
LHFPL5,0.23371552,0.02372176,0.036179457,0.032512356,0.01502504,0.07797087,0.018181084
NCL,0.1798432,0.3331856,0.37289128,0.36089313,0.38397294,0.331247,0.22736372
RBMS2,0.097126804,0.03922293,0.04789503,0.031214582,0.116725266,0.25883067,0.10619595
SKIL,0.04025828,0.041857142,0.09118083,0.14442025,0.12075923,0.25819737,0.050505053
PEX10,0.23179805,0.019198194,0.023878442,0.024707414,0.07345575,0.08064515,0.01010101
PCYOX1,0.02432793,0.023810895,0.035234537,0.022359265,0.23101725,0.05386684,0.01010101
B3GAT2,0.24899806,0.038403332,0.045624577,0.026027493,0.043426704,0.091600545,0.10305236
PTGER4,0.024561267,0.22787453,0.013024604,0.027308192,0.031719536,0.008064516,0.060606062
RHOA,0.19331741,0.25073022,0.18253906,0.27505842,0.38445622,0.30379626,0.3612526
ATL3,0.031699937,0.054771353,0.04269176,0.057867378,0.25709534,0.099462345,0.09595959
LINC00957,0.010467295,0.22137293,0.05282201,0.15344602,0.008347245,0.09147049,0.1060606
HNRNPA2B1,0.3002365,0.4220638,0.52268803,0.50877535,0.4088442,0.42030427,0.49530396
DLC1,0.003599113,0.0,0.002170767,0.0,0.19871597,0.099462345,0.005050505
SP140,0.00040144986,0.08808575,0.04956586,0.2147502,0.0025041737,0.002688172,0.030100437
AFF1,0.06644765,0.09768486,0.13975497,0.06762029,0.21869798,0.26344073,0.09595958
ADD3,0.081401624,0.08503667,0.03111433,0.07802341,0.26043415,0.13440856,0.045454547
MMP24,0.21933624,0.008469789,0.01591896,0.01040312,0.023372289,0.024193546,0.015151516
C10orf55,0.01176633,0.0005646527,0.000723589,0.0013003901,0.20868117,0.002688172,0.02020202
SLC39A4,0.21039444,0.005646527,0.023878442,0.0045503033,0.0050083473,0.010752688,0.0
FGL2,0.030883832,0.011293053,0.026049208,0.020806244,0.01836394,0.12836018,0.21212122
SNX9,0.06923689,0.09792175,0.013048719,0.09930202,0.25253186,0.10771346,0.17172876
SYTL2,0.15328789,0.18020763,0.012754172,0.006517224,0.010037959,0.005376344,0.020387458
CDS1,0.20521472,0.0016939582,0.006512301,0.0013003901,0.0050083473,0.002688172,0.0
LDB2,0.00041528238,0.002258611,0.0,0.0,0.011711591,0.20430097,0.0
CD96,0.0029108285,0.2074871,0.010130247,0.01560468,0.001669449,0.0,0.005050505
SDC2,0.0029069763,0.0,0.000723589,0.0,0.20634402,0.005376344,0.025252525
BAG3,0.1110793,0.15979657,0.08176551,0.19505852,0.30224,0.24193543,0.14646465
LINC01354,0.00055370986,0.0,0.0,0.0,0.20701173,0.043010756,0.015151516
SLC25A25,0.22751243,0.023715418,0.020260496,0.027308196,0.028380638,0.034946233,0.025252525
ENOSF1,0.2255058,0.034443818,0.010448957,0.04423083,0.01836394,0.024193546,0.092239045
PHYKPL,0.26481554,0.064370446,0.045685645,0.046921924,0.11252092,0.11305921,0.090909086
SHC1,0.01849351,0.017249484,0.0332851,0.028608587,0.035058435,0.22199254,0.007575758
NLRP3,0.0016497127,0.009504987,0.0010853835,0.0026007802,0.0,0.0,0.20252526
EVL,0.026321145,0.2042847,0.025325619,0.13914627,0.008347245,0.008502058,0.07553307
JAG1,0.08225001,0.0028232636,0.008683069,0.0,0.15943246,0.17741928,0.03030303
ARHGEF39,0.2826513,0.10169381,0.06078149,0.14445989,0.09515862,0.06720431,0.13636363
PPDPF,0.2714249,0.10347249,0.10863742,0.10164966,0.114357285,0.05645162,0.037878785
COX11,0.21822517,0.019762848,0.013748193,0.024707414,0.01669449,0.018817203,0.02020202
ACOT11,0.20202474,0.0005646527,0.00458273,0.0013003901,0.0,0.005376344,0.005050505
CALU,0.016674647,0.018821757,0.106078,0.01690507,0.20868126,0.13172041,0.03030303
APOLD1,0.008464845,0.008940335,0.012879887,0.012873862,0.023372287,0.21186042,0.012626262
SFPQ,0.12169199,0.24133018,0.14978264,0.25901312,0.35018632,0.20430098,0.20707072
GOLIM4,0.20574608,0.021642158,0.07353727,0.01430429,0.17677552,0.14247306,0.070707075
FOXO3,0.032399688,0.03698477,0.08683061,0.03944517,0.24318323,0.07034051,0.0429293
PYROXD1,0.07286351,0.120750666,0.049009126,0.13575189,0.11996043,0.28024787,0.16666667
MRC1,0.00055370986,0.0028232636,0.0,0.0,0.003338898,0.048387095,0.20202021
IGLV5-45,0.005563444,0.0011293055,0.20295939,0.0026007802,0.0030606566,0.002688172,0.015151516
CD302,0.042802915,0.010788967,0.012228657,0.01040312,0.21820849,0.08254568,0.0919192
SERINC3,0.06235308,0.11563288,0.10895509,0.08595576,0.223711,0.26745296,0.14663617
CTNND1,0.23015776,0.012120138,0.030858042,0.021970112,0.06574247,0.09784807,0.060062688
PDE3B,0.023121864,0.21725556,0.0086500775,0.0130788535,0.021702839,0.018817203,0.056649126
SRRM2,0.25866184,0.19988656,0.36569813,0.24702936,0.4090146,0.34952882,0.32914275
ADD1,0.046116013,0.078244515,0.055788722,0.06858114,0.20367296,0.22581916,0.07070707
JMJD8,0.24100411,0.032185216,0.053909186,0.023407025,0.10599305,0.099462345,0.05555556
GDI2,0.18634439,0.24976403,0.20911679,0.362336,0.31858647,0.3119014,0.37878793
CRYBG3,0.07020168,0.012824802,0.09298106,0.02405722,0.21053226,0.17473114,0.060606062
NCAPD3,0.015095935,0.030480724,0.012301015,0.032545447,0.1271274,0.20430098,0.015151516
KLF5,0.20490928,0.007905137,0.050722606,0.0065019503,0.013355591,0.002688172,0.0
TCF4,0.0036894772,0.011293052,0.06267726,0.10278135,0.07764819,0.2268723,0.065656565
HMOX1,0.014950154,0.0062111793,0.002170767,0.041612487,0.20863023,0.110277995,0.065656565
CMC1,0.17689693,0.038678728,0.06367594,0.03771132,0.22036745,0.17473112,0.10606061
FTSJ3,0.12304153,0.26045752,0.12771325,0.22106855,0.328152,0.25541845,0.24242426
EDN1,0.05307927,0.0016939582,0.0079594795,0.0013003901,0.0058430713,0.20126933,0.0
TLDC2,0.013981162,0.024280073,0.005788712,0.0013003901,0.0684474,0.010752688,0.20707077
ZNF106,0.038431067,0.067200355,0.04196817,0.10664388,0.25375643,0.06989247,0.1010101
PRRC2B,0.040905386,0.21405922,0.09153389,0.18998708,0.24540919,0.12903222,0.1010101
JUP,0.11860004,0.0028232636,0.006512301,0.020806242,0.06677795,0.19623652,0.005050505
JAM2,0.008374863,0.002258611,0.003617945,0.0039011703,0.033388987,0.20161282,0.0
SGCB,0.021317838,0.004517222,0.0072358903,0.0130039,0.20534237,0.06182796,0.0
NCOA3,0.056686684,0.09935354,0.20443776,0.23813133,0.046744574,0.17745927,0.12121211
FBXL6,0.3025118,0.14963265,0.3581768,0.1732248,0.20701182,0.22311816,0.26767674
HNRNPK,0.14741722,0.2566306,0.21848199,0.2654735,0.338959,0.31586006,0.15656565
LIMS1,0.03112066,0.10397196,0.04681621,0.047542036,0.07180016,0.1932795,0.21209286
POSTN,0.00041528238,0.0,0.001447178,0.0,0.013355591,0.19635035,0.0
MXRA8,0.012666105,0.0005646527,0.002170767,0.0013003901,0.19699514,0.002688172,0.0
SNX3,0.03716784,0.04691534,0.04196817,0.11184555,0.14023381,0.091397844,0.24242425
NKIRAS1,0.25152206,0.03265616,0.061143283,0.08560899,0.067612685,0.14650533,0.0959596
BCL10,0.17937493,0.032185216,0.20549887,0.15214562,0.033388983,0.0672043,0.05555556
LOX,0.004844961,0.0016939582,0.0,0.0,0.18300022,0.11021505,0.01010101
LRRFIP1,0.072304815,0.13862196,0.045741502,0.116096795,0.06576238,0.24335389,0.1969697
PRR33,0.00069213734,0.06182952,0.08929082,0.08669265,0.07514517,0.0,0.21717173
YWHAZ,0.20937479,0.3712792,0.19424836,0.32708195,0.20153527,0.19480675,0.21515152
CEMIP2,0.06555393,0.21470644,0.01591896,0.088425376,0.056761257,0.18010747,0.05555556
BIRC3,0.023302484,0.04376061,0.22002211,0.04210014,0.0050083473,0.028494623,0.070707075
RPL29,0.071926504,0.16667694,0.15131931,0.2691521,0.09232317,0.057361268,0.11092135
LINC00867,0.27162293,0.13156386,0.13784342,0.14824446,0.26043418,0.30376324,0.24747479
RPS27A,0.10114079,0.19064029,0.13684936,0.28684676,0.08009905,0.08859368,0.1437407
RHOJ,0.00055370986,0.0,0.0,0.0,0.013355591,0.1937125,0.0
SLC39A14,0.026245877,0.009599094,0.020984085,0.00780234,0.20367768,0.07258065,0.0
TMEM176A,0.17542394,0.0028232636,0.019536907,0.0039011703,0.11524311,0.008064516,0.12626263
ZYX,0.021640547,0.105025254,0.016642548,0.057867378,0.21035077,0.120967716,0.16161619
DNASE1,0.22695415,0.025645917,0.028943567,0.045513663,0.03937883,0.08602149,0.035353534
FLNA,0.0037375404,0.14680943,0.032561954,0.07802342,0.21535902,0.13709673,0.1111111
PODN,0.0016611296,0.0016939582,0.000723589,0.0,0.19226503,0.005376344,0.0
IGFBP7,0.08464821,0.026538689,0.043779735,0.0156046795,0.20874977,0.16298419,0.090909086
HSPG2,0.015789395,0.0,0.021707673,0.0052015604,0.053422358,0.20123881,0.005050505
RNF157-AS1,0.1961816,0.038566682,0.010130247,0.0033810143,0.003338898,0.0,0.0
RPL18A,0.05025718,0.19482301,0.1563243,0.27155912,0.10791471,0.1152887,0.11203507
RPS13,0.11369127,0.25581565,0.25332505,0.3057752,0.13643342,0.18279564,0.15554422
YWHAQ,0.08577237,0.13387896,0.08357574,0.09830946,0.28881475,0.13440856,0.1060606
TWSG1,0.010797338,0.0073404843,0.046309706,0.01040312,0.19866459,0.0860215,0.0
ALDOB,0.19306569,0.0005646527,0.0028944283,0.0,0.0036920703,0.010752688,0.005050505
TMEM39A,0.004706533,0.010728399,0.026772799,0.01040312,0.0116861425,0.20280588,0.06565657
SH3KBP1,0.07256182,0.16374893,0.19319777,0.23276989,0.06890851,0.043010756,0.15151513
COBLL1,0.019077295,0.007905137,0.13616925,0.19112623,0.028380636,0.067204304,0.01010101
RBL2,0.036704335,0.24828203,0.05304937,0.09590531,0.12700891,0.08870967,0.060606066
CPE,0.0032530448,0.0005646527,0.001447178,0.0,0.14858104,0.14784943,0.005050505
IGHV3-43,0.0021648956,0.001985837,0.19046688,0.0055209543,0.0020520312,0.0006518424,0.00028058357
PLD3,0.02482406,0.03641443,0.06120701,0.031209368,0.19204156,0.07262224,0.1818182
PEA15,0.007890368,0.01708575,0.023878442,0.036410928,0.15562502,0.1841397,0.05808081
RCAN3,0.019607536,0.20768923,0.02604921,0.06827048,0.003338898,0.010752688,0.05050505
ZNF706,0.22401574,0.16610862,0.24934854,0.12925872,0.07345576,0.05913979,0.14141415
SON,0.19114552,0.40032244,0.30297008,0.37890416,0.3589399,0.3740037,0.3232454
SERPINB9,0.005852994,0.121420674,0.062240113,0.09437361,0.00856612,0.02957583,0.20203903
IGHJ3,0.0029069763,0.002258611,0.19007753,0.0052015604,0.001669449,0.0,0.005050505
GABPA,0.3523565,0.15872997,0.20937273,0.20465901,0.1794659,0.13709673,0.17424244
KLF9,0.06042375,0.044607587,0.018089727,0.026007803,0.22036743,0.12096771,0.06565657
CCDC85B,0.031423066,0.0762281,0.02858177,0.09221961,0.10523418,0.23118272,0.04040404
IGLJ3,0.0068521607,0.0036702428,0.19024608,0.0065019503,0.0,0.0,0.005050505
CCDC159,0.1417998,0.05533601,0.24342534,0.07282185,0.18710296,0.20178698,0.10101009
PIM1,0.019518273,0.11677617,0.076700404,0.03576073,0.22043514,0.037634406,0.042929295
CASKIN1,0.20776407,0.010916617,0.014471782,0.00780234,0.05509181,0.07795699,0.04040404
E2F5,0.5460569,0.36683697,0.4604744,0.5789114,0.52768594,0.48020867,0.53051215
NUCB1,0.06966781,0.072596356,0.103473134,0.05721718,0.22704525,0.21547061,0.13131312
RELN,0.00019380728,0.0005646527,3.069036e-05,8.675131e-05,0.001669449,0.18564461,0.0
IGHV3-15,0.0038186004,0.0040969616,0.19239238,0.016688341,0.015025041,0.002688172,0.005050505
FAM120B,0.07547835,0.14342153,0.06801736,0.104031175,0.14691159,0.2741935,0.106060594
PPIB,0.064585544,0.05434786,0.25499815,0.09350765,0.14440742,0.09946236,0.07070707
SERP1,0.11048756,0.15059821,0.28770465,0.206105,0.08848083,0.110274136,0.1321374
OST4,0.04499315,0.06717241,0.24204333,0.110533126,0.061769605,0.11856024,0.045454547
CFI,0.004862592,0.0,2.8717956e-05,0.0,0.022488192,0.18785448,0.0025252525
HEXA,0.030232478,0.054716546,0.06521791,0.072046615,0.2310498,0.039421532,0.11689266
PRMT5-AS1,0.20253679,0.26511502,0.11034714,0.29916763,0.15108524,0.13440855,0.21212128
MTO1,0.22448418,0.03077509,0.053907663,0.036734372,0.050233807,0.02956989,0.07616798
SPCS3,0.054847606,0.11603602,0.2656457,0.081924565,0.08181368,0.13978489,0.11616161
SQSTM1,0.23263355,0.09051539,0.17165355,0.10265543,0.26791283,0.16971111,0.10101009
ARF4,0.15095498,0.10888372,0.23807868,0.111833476,0.2614359,0.19287626,0.08080807
DUSP2,0.012596921,0.17141075,0.10891549,0.13849153,0.010016694,0.0,0.050505053
PRPF8,0.057193313,0.2407708,0.110724114,0.24837467,0.20239225,0.17204294,0.16161618
ZEB1,0.0023532668,0.090915255,0.054992776,0.06762029,0.08180301,0.2123655,0.015151516
TEX54,0.19278038,0.057407327,0.15303802,0.03706112,0.017529216,0.02016129,0.05808081
DDR2,0.0030277397,0.0005646527,0.006512301,0.0,0.18465932,0.010752688,0.0
PALMD,0.0022149892,0.0,0.0,0.0,0.006677796,0.18279563,0.0
HYOU1,0.03612962,0.03472616,0.21960863,0.029908974,0.028380638,0.067204304,0.060606066
SEMA3E,0.0041925646,0.0005646527,0.001447178,0.0,0.18367888,0.010752688,0.0
TMSB4X,0.12568583,0.20996286,0.21617852,0.2759,0.08407554,0.11021502,0.15370369
GRN,0.05079716,0.02405421,0.05282201,0.08287105,0.1088481,0.077957,0.2323233
APLP2,0.08000343,0.03356737,0.028426746,0.03771132,0.21308349,0.121863775,0.13636364
SH3D21,0.01682368,0.011293053,0.036903046,0.0065019503,0.14524215,0.16129026,0.1212121
TNS1,0.0016611296,0.0,0.001447178,0.0013003901,0.10517531,0.16935478,0.01010101
RPL26,0.18804507,0.120870076,0.29231712,0.18459995,0.083980374,0.18992437,0.12377079
ITSN2,0.044957075,0.13334359,0.08153557,0.22886874,0.07345576,0.2016128,0.14141414
MYC,0.013233549,0.017504232,0.023154853,0.020806244,0.19601762,0.070040226,0.005050505
RBBP4,0.20066659,0.25905526,0.3202598,0.3730448,0.3176296,0.33658567,0.20021148
LONP2,0.21233699,0.08984511,0.08653582,0.15734716,0.24140255,0.2554171,0.17683981
CCNG1,0.18856192,0.18157062,0.14458826,0.19895974,0.24223727,0.06989248,0.060606062
UCHL5,0.08383366,0.20610185,0.098287374,0.2147595,0.20217045,0.27419338,0.16161618
CDH5,0.00069213734,0.0005646527,0.001447178,0.0026007802,0.001669449,0.18010746,0.0
IRF4,0.0011112813,0.053077385,0.19321217,0.05071522,0.003338898,0.005376344,0.03030303
PDE4B,0.0022562738,0.10220203,0.18850249,0.114679754,0.003338898,0.03763441,0.05303031
CLN3,0.122241266,0.06272631,0.0073082494,0.010643604,0.0068447404,0.0,0.16945055
CLN3,0.0040557818,0.0030488833,0.0018089724,0.0033810143,0.0058430713,0.0,0.0025252525
ITGA6,0.09822012,0.031974334,0.19178681,0.016770897,0.001669449,0.09677419,0.025252525
LAPTM4A,0.033776347,0.026199896,0.05282201,0.031209368,0.21758506,0.08333332,0.05555556
SYNPO2,0.003599113,0.0017013422,0.002170767,0.0019520868,0.18378887,0.008064516,0.025252525
RPS15A,0.14737141,0.18706672,0.20925406,0.23665075,0.05425709,0.10273665,0.09192204
CD63,0.066628665,0.025409376,0.08394995,0.02129389,0.22008125,0.11379925,0.09155069
LY9,0.0017995571,0.057271965,0.09479007,0.18075767,0.001669449,0.002688172,0.02020202
RASGEF1B,0.022696473,0.15614875,0.0861747,0.15694071,0.018414665,0.010790722,0.1383371
DPH1,0.038931087,0.052778777,0.041619603,0.06163851,0.22739203,0.08465724,0.049719427
LIMCH1,0.0026301215,0.0,0.0,0.0,0.05008347,0.18010746,0.005050505
CTTN,0.099209286,0.0030652576,0.013028329,0.0022478576,0.14190325,0.14247309,0.005050505
CRIP2,0.0026301215,0.0016939582,0.002894356,0.0,0.02179114,0.18056236,0.0
SEMA3A,0.00033650015,0.0,0.000723589,0.0,0.0050083473,0.17743671,0.0
PHC3,0.3060638,0.17766032,0.16914204,0.1570461,0.11200263,0.10961143,0.13845415
ITGB3BP,0.28676558,0.10530759,0.15707095,0.09102729,0.15025051,0.14381716,0.10101009
CYFIP1,0.21131288,0.0203275,0.05862223,0.051365424,0.09349193,0.16129024,0.10101009
PDGFRL,0.081612036,0.0005646527,0.004341534,0.0,0.023372289,0.17748804,0.005050505
NT5E,0.021040974,0.008469789,0.013024604,0.05331601,0.19198677,0.06989247,0.005050505
EEF1D,0.07188471,0.19887687,0.18196869,0.24491356,0.10773332,0.07336265,0.15995672
PDPN,0.0008305648,0.0005646527,0.0,0.0,0.17195334,0.07258064,0.0
FAM98A,0.010501986,0.014124927,0.19707486,0.048432365,0.03505843,0.091460064,0.030303031
HNRNPUL1,0.07490936,0.23517928,0.20587203,0.18969637,0.16138479,0.19892463,0.28787887
RPS24,0.20068137,0.19558848,0.3079593,0.30018765,0.18271083,0.3422938,0.29936874
CNP,0.23682061,0.04178432,0.07352985,0.070871264,0.07762939,0.1425259,0.1212121
AFG3L2,0.040671702,0.020045174,0.036903046,0.020806242,0.1569283,0.17741928,0.08080808
GSK3B,0.21557231,0.05997406,0.027903862,0.043563932,0.035810973,0.06720431,0.040623583
FAM107A,0.0037537222,0.0011293055,0.0032561503,0.0017394233,0.030093176,0.17793685,0.00020855883
DALRD3,0.42000568,0.24336462,0.248917,0.31561667,0.3105174,0.266132,0.23232329
ARAP3,0.0033222584,0.007905137,0.000723589,0.0,0.0025041737,0.17545033,0.0
ABCC11,0.26020688,0.09824947,0.11775717,0.07932378,0.19365624,0.09677417,0.16666669
COL8A1,0.00223933,0.00056465203,0.000723589,0.0,0.15721323,0.104869895,0.0
IKZF3,0.010561567,0.1521488,0.1020568,0.12509742,0.001669449,0.002688172,0.015151516
SCAND1,0.24414156,0.22713922,0.16353074,0.12458754,0.088480815,0.071505375,0.14646465
MTUS1,0.08151868,0.002258611,0.034416612,0.0013003901,0.030050086,0.18289587,0.01010101
SRPX2,0.120071955,0.0005646527,0.002894356,0.0,0.1527917,0.07795698,0.005050505
GZMA,0.010312843,0.17646746,0.0072358903,0.0,0.0050083473,0.0,0.005050505
LTBR,0.17399116,0.002258611,0.01736614,0.0026007802,0.11452427,0.09677419,0.06565657
SNHG7,0.01914377,0.041251473,0.016358368,0.0522757,0.028380638,0.1989482,0.025252525
LAMB1,0.121520616,0.01693958,0.01736614,0.012783592,0.18697838,0.06989247,0.07575758
ADA,0.06766704,0.012196496,0.017999634,0.062212143,0.045492094,0.19892463,0.02020202
IER3,0.1723599,0.038114075,0.10021695,0.027308196,0.18578587,0.14650537,0.16161618
PRR19,0.2204355,0.07284021,0.03400869,0.10793235,0.028380638,0.11021503,0.11616161
ZACN,0.19035403,0.038170546,0.028943567,0.022106633,0.09849752,0.14784941,0.060606066
APOB,0.17178784,0.0005646527,0.001447178,0.0,0.0,0.002688172,0.0
LEF1,0.0052602435,0.18183954,0.010853836,0.05102897,0.003338898,0.026881717,0.005050505
RBP2,0.17223252,0.0005646527,0.002894356,0.0,0.0,0.0,0.005050505
APOOL,0.29896727,0.14270993,0.12087664,0.1856697,0.1883819,0.26743907,0.17002286
SLC8A1,0.0066445195,0.002258611,0.002170767,0.0,0.0116861425,0.0483871,0.17676769
PRICKLE2,0.0037576223,0.0005646527,0.000723589,0.0,0.17383114,0.040361147,0.0
FABP1,0.17222627,0.026821014,0.11312249,0.00910273,0.019198665,0.01344086,0.01010101
IGHV4-55,0.0018395681,0.0012539093,0.17354754,0.0042913426,0.0022259322,0.00047438333,0.008158509
TYMP,0.014687444,0.010502539,0.039966237,0.0097529255,0.030050088,0.009677419,0.18686871
TSPAN14,0.026350364,0.14271675,0.01591896,0.035539787,0.025041739,0.17239228,0.1060606
SERPINB6,0.1669249,0.03169897,0.029674195,0.025235586,0.09016842,0.1755783,0.1111111
CHRNE,0.2103231,0.042913634,0.050218515,0.03901171,0.02003339,0.09677417,0.09090908
DENND2D,0.017303426,0.18102731,0.005788712,0.071521476,0.0050083473,0.008064516,0.025333254
GAPDH,0.30595145,0.29345804,0.3521234,0.29618758,0.17362279,0.19405508,0.24545461
CD8A,0.0033222586,0.17820404,0.009406658,0.0130039,0.008347245,0.002688172,0.015151516
SENP5,0.27395085,0.10973677,0.12788497,0.13999365,0.09378448,0.102613844,0.09029306
ELK3,0.014673297,0.02936195,0.046309706,0.03511054,0.04748693,0.19892466,0.02020202
SPIDR,0.0430233,0.021464834,0.010130247,0.03250976,0.18197009,0.1317204,0.08838383
EIF4G1,0.09887994,0.14573096,0.15197329,0.16015579,0.27963275,0.2559451,0.17171717
CAST,0.25854412,0.15048683,0.13539533,0.10058347,0.2604342,0.2392472,0.18183386
CD44,0.017580282,0.15971187,0.11649765,0.14580946,0.13860378,0.008064516,0.14647181
ACVR2B,0.2563892,0.11054314,0.111866295,0.15353595,0.06396331,0.079704985,0.10713276
SLC7A8,0.04000562,0.009034443,0.001447178,0.0013003901,0.17529222,0.008064516,0.07575757
ZMIZ1,0.04083618,0.05477135,0.026772799,0.044213273,0.1435727,0.19896418,0.090909086
MAFB,0.009067001,0.0050818743,0.0115774255,0.0026007802,0.0584307,0.024193546,0.17929296
IFITM3,0.008892473,0.037709236,0.010905521,0.020060068,0.12724878,0.17297846,0.059523813
AATK,0.055301905,0.005646527,0.0058041383,0.0,0.04006677,0.18279564,0.05555556
